longueur_onde,flux
5842.7910,4434.2246
5842.8062,4403.6880
5842.8208,4403.6880
5842.8359,4353.8296
5842.8511,4299.4224
5842.8657,4299.4224
5842.8809,4472.7026
5842.8960,4484.2261
5842.9111,4439.8398
5842.9258,4372.5420
5842.9409,4372.5420
5842.9561,4288.1650
5842.9707,4274.1470
5842.9858,4254.2441
5843.0010,4211.5493
5843.0161,4211.5493
5843.0308,4479.3550
5843.0459,4555.4639
5843.0610,4568.7612
5843.0762,4610.9233
5843.0908,4610.9233
5843.1060,4440.7524
5843.1211,4368.2227
5843.1357,4393.1240
5843.1509,4521.1152
5843.1660,4521.1152
5843.1812,4316.7334
5843.1958,4194.0518
5843.2109,4213.5728
5843.2261,4417.7734
5843.2407,4417.7734
5843.2559,4365.7246
5843.2710,4323.1279
5843.2861,4325.8657
5843.3008,4534.8174
5843.3159,4534.8174
5843.3311,4569.2310
5843.3457,4607.0771
5843.3608,4607.0771
5843.3760,4358.6294
5843.3911,4342.7422
5843.4058,4333.5054
5843.4209,4319.8706
5843.4360,4319.8706
5843.4512,4345.2061
5843.4658,4349.0542
5843.4810,4358.9243
5843.4961,4378.7158
5843.5107,4378.7158
5843.5259,4436.2148
5843.5410,4450.7969
5843.5562,4427.7188
5843.5708,4363.0312
5843.5859,4363.0312
5843.6011,4335.5117
5843.6157,4325.2573
5843.6309,4323.8843
5843.6460,4318.1938
5843.6611,4318.1938
5843.6758,4321.7021
5843.6909,4323.5044
5843.7061,4333.3828
5843.7207,4401.1602
5843.7358,4401.1602
5843.7510,4323.2256
5843.7661,4269.9736
5843.7808,4274.3613
5843.7959,4341.5806
5843.8110,4341.5806
5843.8262,4344.1030
5843.8408,4346.3511
5843.8560,4346.3511
5843.8711,4291.3066
5843.8857,4291.1201
5843.9009,4368.6968
5843.9160,4458.0273
5843.9312,4458.0273
5843.9458,4439.8623
5843.9609,4438.5635
5843.9761,4452.5918
5843.9907,4473.4531
5844.0059,4473.4531
5844.0210,4333.5850
5844.0361,4312.9092
5844.0508,4348.6035
5844.0659,4417.6855
5844.0811,4417.6855
5844.0957,4356.3745
5844.1108,4342.0352
5844.1260,4354.3252
5844.1411,4385.8433
5844.1558,4385.8433
5844.1709,4293.2549
5844.1860,4262.5532
5844.2012,4229.9277
5844.2158,4115.4106
5844.2310,4115.4106
5844.2461,4237.0742
5844.2607,4291.0225
5844.2759,4295.8125
5844.2910,4320.1963
5844.3062,4320.1963
5844.3208,4144.6118
5844.3359,4044.0835
5844.3511,4065.5300
5844.3657,4242.7373
5844.3809,4242.7373
5844.3960,4234.1382
5844.4111,4227.9194
5844.4258,4236.0225
5844.4409,4380.7461
5844.4561,4380.7461
5844.4707,4387.0645
5844.4858,4392.7578
5844.5010,4392.7578
5844.5161,4189.1899
5844.5308,4189.0630
5844.5459,4276.8242
5844.5610,4374.5889
5844.5762,4374.5889
5844.5908,4303.6763
5844.6060,4299.7100
5844.6211,4253.6025
5844.6357,4190.2798
5844.6509,4190.2798
5844.6660,4348.3701
5844.6812,4366.7246
5844.6958,4421.5610
5844.7109,4514.5562
5844.7261,4514.5562
5844.7407,4339.7998
5844.7559,4308.0435
5844.7710,4358.7539
5844.7861,4465.6108
5844.8008,4465.6108
5844.8159,4287.8560
5844.8311,4242.7964
5844.8457,4262.9292
5844.8608,4316.2661
5844.8760,4316.2661
5844.8911,4250.3442
5844.9058,4228.4419
5844.9209,4232.3882
5844.9360,4245.7861
5844.9512,4245.7861
5844.9658,4355.8384
5844.9810,4401.9434
5844.9961,4398.0151
5845.0107,4380.3984
5845.0259,4380.3984
5845.0410,4336.6797
5845.0562,4314.1777
5845.0708,4322.1396
5845.0859,4371.7026
5845.1011,4371.7026
5845.1157,4418.3301
5845.1309,4447.2812
5845.1460,4435.4883
5845.1611,4324.1763
5845.1758,4324.1763
5845.1909,4265.6460
5845.2061,4222.3804
5845.2207,4232.1943
5845.2358,4402.4990
5845.2510,4402.4990
5845.2661,4399.5078
5845.2808,4396.9004
